record_id,state,state_name,source_doc_id,source_doc_title,source_doc_category,mined_org_name,mined_org_candidates,amount_announced,money_in_title,money_in_description,rcj_document_url,state_source_url,mining_basis
5f20072d-0bf3-460e-9535-69976b4f8986,CA,California,5f20072d-0bf3-460e-9535-69976b4f8986,CA - 2024 - Distressed Hospital Loan Program,AWARD_ANNOUNCEMENT,Distressed Hospital,Distressed Hospital,300000000,FALSE,TRUE,https://www.ruralcarejourney.com/api/documents/5f20072d-0bf3-460e-9535-69976b4f8986/file,NA,"§6.4: category AWARD_ANNOUNCEMENT; 1 organisation name(s) passing the §6.1 legal-entity and named-recipient tests; a dollar figure present; no /awards record shares this sourceDocument.id. UNASSIGNED candidate only — never promoted to SUBAWARD (§6.4, §13.18)."
5d8027b5-86ca-4b0c-bc44-8da5dfdebe3a,CA,California,5d8027b5-86ca-4b0c-bc44-8da5dfdebe3a,CA - 2026 - calrht (ef4930),REFERENCE,Department of Health Care Access and Information,Department of Health Care Access and Information,233600000,FALSE,FALSE,https://www.ruralcarejourney.com/api/documents/5d8027b5-86ca-4b0c-bc44-8da5dfdebe3a/file,https://hcai.ca.gov/rural-health/calrht/,"§6.4: category REFERENCE; 1 organisation name(s) passing the §6.1 legal-entity and named-recipient tests; a dollar figure present; no /awards record shares this sourceDocument.id. UNASSIGNED candidate only — never promoted to SUBAWARD (§6.4, §13.18)."
34d68967-0182-4dcf-936a-28430d5cae51,CO,Colorado,34d68967-0182-4dcf-936a-28430d5cae51,CO - 2026 - Colorado,REFERENCE,Department of Health Care Policy and Financing Colorado Rural,Department of Health Care Policy and Financing Colorado Rural | Department of Health Care Policy & Financing | Department of Health Care Policy &,NA,FALSE,TRUE,https://www.ruralcarejourney.com/api/documents/34d68967-0182-4dcf-936a-28430d5cae51/file,NA,"§6.4: category REFERENCE; 3 organisation name(s) passing the §6.1 legal-entity and named-recipient tests; a dollar figure present; no /awards record shares this sourceDocument.id. UNASSIGNED candidate only — never promoted to SUBAWARD (§6.4, §13.18)."
4be201ec-33e7-45c7-b7c2-8b4aef415dd0,CO,Colorado,4be201ec-33e7-45c7-b7c2-8b4aef415dd0,CO - 2026 - Colorado (2026-05-14-listserv-Colorado Rural Health Transformation Program - Interest Survey Now Open),REFERENCE,Department of Health Care Policy and Financing Colorado Rural,Department of Health Care Policy and Financing Colorado Rural | Department of Health Care Policy & Financing | Department of Health Care Policy &,NA,FALSE,TRUE,https://www.ruralcarejourney.com/api/documents/4be201ec-33e7-45c7-b7c2-8b4aef415dd0/file,NA,"§6.4: category REFERENCE; 3 organisation name(s) passing the §6.1 legal-entity and named-recipient tests; a dollar figure present; no /awards record shares this sourceDocument.id. UNASSIGNED candidate only — never promoted to SUBAWARD (§6.4, §13.18)."
63b8db90-3297-4d00-b0b0-9f5a0481bc35,CO,Colorado,63b8db90-3297-4d00-b0b0-9f5a0481bc35,"CO - 2030 - Home For Our Stakeholders Committees, Boards, and Collaboration Colorado RHTP",REFERENCE,The Colorado Rural Health Center,The Colorado Rural Health Center,NA,FALSE,TRUE,https://www.ruralcarejourney.com/api/documents/63b8db90-3297-4d00-b0b0-9f5a0481bc35/file,https://hcpf.colorado.gov/rural-health-transformation-program,"§6.4: category REFERENCE; 1 organisation name(s) passing the §6.1 legal-entity and named-recipient tests; a dollar figure present; no /awards record shares this sourceDocument.id. UNASSIGNED candidate only — never promoted to SUBAWARD (§6.4, §13.18)."
60c788f7-8071-4c52-99f6-670c6ee8d27f,FL,Florida,60c788f7-8071-4c52-99f6-670c6ee8d27f,FL - 2026 - Parrish Medical Center Awarded More Than 52 Million in Grants to Promote Rural Health Workforce Development in First Year of Floridas Rural Health Transformation Program,REFERENCE,Parrish Medical Center,Parrish Medical Center,NA,TRUE,TRUE,https://www.ruralcarejourney.com/api/documents/60c788f7-8071-4c52-99f6-670c6ee8d27f/file,NA,"§6.4: category REFERENCE; 1 organisation name(s) passing the §6.1 legal-entity and named-recipient tests; a dollar figure present; no /awards record shares this sourceDocument.id. UNASSIGNED candidate only — never promoted to SUBAWARD (§6.4, §13.18)."
6fbeb68d-dc15-4fe3-80d1-47e505d65d57,GA,Georgia,6fbeb68d-dc15-4fe3-80d1-47e505d65d57,GA - 2023 - Notice of Intent to Award: Coordination of Continuing Education Programs for Rural Providers,AWARD_ANNOUNCEMENT,Georgia Trauma Foundation,Georgia Trauma Foundation,275185,FALSE,TRUE,https://www.ruralcarejourney.com/api/documents/6fbeb68d-dc15-4fe3-80d1-47e505d65d57/file,NA,"§6.4: category AWARD_ANNOUNCEMENT; 1 organisation name(s) passing the §6.1 legal-entity and named-recipient tests; a dollar figure present; no /awards record shares this sourceDocument.id. UNASSIGNED candidate only — never promoted to SUBAWARD (§6.4, §13.18)."
d063862b-ea79-432e-8cec-63bdbb71a264,GA,Georgia,d063862b-ea79-432e-8cec-63bdbb71a264,GA - 2023 - Project Work Plan Template Appendix F,REFERENCE,Georgia Rural Hospital,Georgia Rural Hospital,833333,FALSE,FALSE,https://www.ruralcarejourney.com/api/documents/d063862b-ea79-432e-8cec-63bdbb71a264/file,NA,"§6.4: category REFERENCE; 1 organisation name(s) passing the §6.1 legal-entity and named-recipient tests; a dollar figure present; no /awards record shares this sourceDocument.id. UNASSIGNED candidate only — never promoted to SUBAWARD (§6.4, §13.18)."
4fdd79cf-bf7f-477f-a111-4bcc4894a0c5,GA,Georgia,4fdd79cf-bf7f-477f-a111-4bcc4894a0c5,GA - 2023 - Request for Grant Application (RFGA) Dual Track Rural Hospital Support Grant for Hospital Stabilization or Graduate Medical Education - Questions & Answers,REFERENCE,Dual Track Rural Hospital Support Grant for Hospital,Dual Track Rural Hospital Support Grant for Hospital | Georgia Dual Track Rural Hospital,500000,FALSE,TRUE,https://www.ruralcarejourney.com/api/documents/4fdd79cf-bf7f-477f-a111-4bcc4894a0c5/file,NA,"§6.4: category REFERENCE; 2 organisation name(s) passing the §6.1 legal-entity and named-recipient tests; a dollar figure present; no /awards record shares this sourceDocument.id. UNASSIGNED candidate only — never promoted to SUBAWARD (§6.4, §13.18)."
1ce9825f-8527-4d3e-8c4f-134cbe8a206f,GA,Georgia,1ce9825f-8527-4d3e-8c4f-134cbe8a206f,GA - 2023 - Rural Hospital Stabilization Grant Program 2023 - Notice of Intent to Award,AWARD_ANNOUNCEMENT,Rural Hospital,Rural Hospital | Award for the Rural Hospital,7000000,FALSE,TRUE,https://www.ruralcarejourney.com/api/documents/1ce9825f-8527-4d3e-8c4f-134cbe8a206f/file,NA,"§6.4: category AWARD_ANNOUNCEMENT; 2 organisation name(s) passing the §6.1 legal-entity and named-recipient tests; a dollar figure present; no /awards record shares this sourceDocument.id. UNASSIGNED candidate only — never promoted to SUBAWARD (§6.4, §13.18)."
