state,initiative_id,initiative_no_source,initiative_name,initiative_group,initiative_budget,activity_type,activity_type_raw,initiative_description,named_recipient_or_contractor,recipient_status,flow_type,has_hospital_recipient,evidence_from_document,budget_narrative_version,source_document,source_archive_path,page_reference,extraction_method,initiative_grain,source_workbook,source_sheet
DE,DE-001,0,Grant Program Oversight & Evaluation Entity (GPOEE),,720000,,,,Contractor TBD,TBD,NON_HOSPITAL,No,Cross-initiative oversight contractor.,Revised 1.30.26,Final-RHTP-Revised-Budget-1.30.26.pdf,/home/user/RHTP_Tracker/data/evidence/budget_narratives/DE/Final-RHTP-Revised-Budget-1.30.26.pdf,,MANUAL,INITIATIVE,DE_initiative_table.xlsx,Initiatives (Y1)
DE,DE-002,0,Staffing Services,,812000,,,,Staffing agency TBD,TBD,NON_HOSPITAL,No,Embedded contract staff within DPH.,Revised 1.30.26,Final-RHTP-Revised-Budget-1.30.26.pdf,/home/user/RHTP_Tracker/data/evidence/budget_narratives/DE/Final-RHTP-Revised-Budget-1.30.26.pdf,,MANUAL,INITIATIVE,DE_initiative_table.xlsx,Initiatives (Y1)
DE,DE-003,1,Rural Hope Center Initiative,,26370000,,,,"Delaware State Housing Authority (renovation $11.5M); Vendors TBD (clinical, social services, ops, facilities, transport, security)",NAMED + TBD,NON_HOSPITAL,No,DSHA named for $11.5M renovation. Clinical personnel vendor TBD. No hospital named.,Revised 1.30.26,Final-RHTP-Revised-Budget-1.30.26.pdf,/home/user/RHTP_Tracker/data/evidence/budget_narratives/DE/Final-RHTP-Revised-Budget-1.30.26.pdf,,MANUAL,INITIATIVE,DE_initiative_table.xlsx,Initiatives (Y1)
DE,DE-004,2,Rural Community Health Hubs,,5483730,,,,"'5 Subrecipient Awards, Contractors TBD'",TBD,PASS_THROUGH_UNRESOLVED,Unclear,"Five hub awards, recipients not named. Hospitals could compete.",Revised 1.30.26,Final-RHTP-Revised-Budget-1.30.26.pdf,/home/user/RHTP_Tracker/data/evidence/budget_narratives/DE/Final-RHTP-Revised-Budget-1.30.26.pdf,,MANUAL,INITIATIVE,DE_initiative_table.xlsx,Initiatives (Y1)
DE,DE-005,3,School-Based Health Centers Expansion,,195000,,,,Vendor TBD,TBD,PASS_THROUGH_UNRESOLVED,Unclear,"Vendor TBD. NOTE: verified awards to Beebe, TidalHealth, Nemours exist but are NOT in this document.",Revised 1.30.26,Final-RHTP-Revised-Budget-1.30.26.pdf,/home/user/RHTP_Tracker/data/evidence/budget_narratives/DE/Final-RHTP-Revised-Budget-1.30.26.pdf,,MANUAL,INITIATIVE,DE_initiative_table.xlsx,Initiatives (Y1)
DE,DE-006,4,Food is Medicine Infrastructure,,1648000,,,,Contractors TBD (3),TBD,PASS_THROUGH_UNRESOLVED,Unclear,"Includes $500,000 'Provider Payments' line; providers unnamed.",Revised 1.30.26,Final-RHTP-Revised-Budget-1.30.26.pdf,/home/user/RHTP_Tracker/data/evidence/budget_narratives/DE/Final-RHTP-Revised-Budget-1.30.26.pdf,,MANUAL,INITIATIVE,DE_initiative_table.xlsx,Initiatives (Y1)
DE,DE-007,5,Rural Libraries Health Access,,1835000,,,,Delaware Division of Libraries ($1.05M); Contractors TBD,NAMED + TBD,NON_HOSPITAL,No,Division of Libraries named. Library-based services.,Revised 1.30.26,Final-RHTP-Revised-Budget-1.30.26.pdf,/home/user/RHTP_Tracker/data/evidence/budget_narratives/DE/Final-RHTP-Revised-Budget-1.30.26.pdf,,MANUAL,INITIATIVE,DE_initiative_table.xlsx,Initiatives (Y1)
DE,DE-008,6,Rural Provider & FQHC Value-Based Care Readiness,,24322042.48,,,,'3 Rural Provider/FQHC Readiness Awards' - recipients TBD,TBD,PASS_THROUGH_UNRESOLVED,Unclear,$22.8M in 3 awards to 'rural providers/FQHCs'. Hospitals plausibly eligible; none named.,Revised 1.30.26,Final-RHTP-Revised-Budget-1.30.26.pdf,/home/user/RHTP_Tracker/data/evidence/budget_narratives/DE/Final-RHTP-Revised-Budget-1.30.26.pdf,,MANUAL,INITIATIVE,DE_initiative_table.xlsx,Initiatives (Y1)
DE,DE-009,7,Catalyst Fund for Telehealth & Remote Monitoring,,5000000,,,,Technology vendor(s) TBD,TBD,NON_HOSPITAL,No,Direct awards to technology companies.,Revised 1.30.26,Final-RHTP-Revised-Budget-1.30.26.pdf,/home/user/RHTP_Tracker/data/evidence/budget_narratives/DE/Final-RHTP-Revised-Budget-1.30.26.pdf,,MANUAL,INITIATIVE,DE_initiative_table.xlsx,Initiatives (Y1)
DE,DE-010,8,Diabetes Wellness Pilot,,950000,,,,Contractors TBD (2),TBD,PASS_THROUGH_UNRESOLVED,Unclear,Contractor TBD. NOTE: verified participation by Beebe Medical Center and TidalHealth is NOT in this document.,Revised 1.30.26,Final-RHTP-Revised-Budget-1.30.26.pdf,/home/user/RHTP_Tracker/data/evidence/budget_narratives/DE/Final-RHTP-Revised-Budget-1.30.26.pdf,,MANUAL,INITIATIVE,DE_initiative_table.xlsx,Initiatives (Y1)
